State,Soil_type
Telangana,Red and Yellow
Andhra pradesh,Red and Yellow
Assam,alluvial
Bihar,alluvial
Karnataka,Black
Tamilnadu,Red and Yellow
Chattisgarh,Red and Yellow
Goa,Red and Yellow
Gujarat,Black
Haryana,alluvial
Himachal pradesh,alluvial
Jharkhand,Red and Yellow
Kerela,laterite
Madhya Pradesh,Black
Maharastra,Black
Manipur,Red and Yellow
Meghalaya,alluvial
Mizoram,Red
Nagaland,Red
Odisha,Red
Punjab,alluvial
Rajasthan,Desert
Sikkim,Mountain
Tamilnadu,Red
Tripura,Red
Uttar Pradesh,Alluvial
West bengal,Alluvial
Arunachal Pradesh,Red
